Date,Close,High,Low,Open,Volume
2010-01-04,84.57846069335938,84.62323701974455,83.22019041926117,83.86201100201663,118944600
2010-01-05,84.80236053466797,84.8396779413871,84.22024543040534,84.52623222275905,111579900
2010-01-06,84.86206817626953,85.07103199378142,84.65310435875766,84.72026885988491,116074400
2010-01-07,85.22034454345703,85.32482651181354,84.46657689130767,84.70539363238545,131091100
2010-01-08,85.50392150878906,85.54123893066293,84.82478884263026,84.99643531803603,126402800
2010-01-11,85.62330627441406,85.92182278190536,85.25761387321361,85.88451106538766,106375700
2010-01-12,84.82474517822266,85.23520813834931,84.49637025505237,85.05609713200016,163333500
2010-01-13,85.54122161865234,85.78003826633102,84.60834319899531,85.04119445839929,161822000
2010-01-14,85.77259063720703,85.9293135594974,85.39197457230803,85.44421554640482,115718800
2010-01-15,84.80986022949219,85.70542142275903,84.48148513483605,85.6233333429342,212283100
2010-01-19,85.86959838867188,85.9218393569443,84.77253236111217,84.79492622794766,139172700
2010-01-20,84.99642181396484,85.41434954212454,84.31728925570533,85.28747943805296,216490200
2010-01-21,83.36198425292969,85.279981387605,83.25750236184511,85.01877665989359,344859600
2010-01-22,81.50373077392578,83.39187600874696,81.41417238521095,82.98887180028827,345942400
2010-01-25,81.92164611816406,82.39928509175049,81.65298238041358,82.25002113318041,186937500
2010-01-26,81.57836151123047,82.44407553753611,81.37686224998419,81.60074968538686,211168800
2010-01-27,81.9664077758789,82.1529834073306,80.84695398716873,81.47384537580496,271863600
2010-01-28,81.02607727050781,82.27986593150325,80.53352048967243,82.23508959520112,316104000
2010-01-29,80.14544677734375,81.94403902366616,80.01857668442182,81.37684737541109,310677600
2010-02-01,81.39177703857422,81.39924166043562,80.2275465570765,80.71264448897995,187865000
2010-02-02,82.37690734863281,82.53363026542348,81.25745306255179,81.5410517924159,216327900
2010-02-03,81.9664077758789,82.45150555642059,81.72759119537419,82.00371948586739,172730700
2010-02-04,79.43647003173828,81.36939150635416,79.4215407875312,81.33207978351321,356715700
2010-02-05,79.60067749023438,79.76485936076149,78.04836594656152,79.52604263818411,493585800
2010-02-08,79.02599334716797,80.10067106943076,78.96628776396719,79.66034951062228,224166900
2010-02-09,80.01856231689453,80.71262393345111,79.30957146041727,79.95139212492494,337820500
2010-02-10,79.8618392944336,80.30215507595223,79.19016584532008,79.89169208037605,240511500
2010-02-11,80.69770050048828,80.78725886494672,79.29465362032877,79.75736329594172,223591600
2010-02-12,80.63053894042969,80.67531527737461,79.48869679763517,79.84691888086931,304622100
2010-02-16,81.8992691040039,81.98136286894065,80.46636906957114,81.24252467834854,159317500
2010-02-17,82.28734588623047,82.39929244168408,81.89926525316969,82.29480481444592,168845100
